Year,State,No. of Government Hospitals and Special Medical Institusions,No. of Beds
2011,W.P. Labuan,1,109
2011,W.P. Putrajaya,1,278
2012,Johor,12,4766
2012,Kedah,9,2387
2012,Kelantan,10,2477
2012,Melaka,4,1290
2012,Negeri Sembilan,7,1563
2012,Pahang,10,2030
2012,Perak,16,5927
2012,Perlis,1,404
2012,Pulau Pinang,6,1947
2012,Sabah,24,4446
2012,Sarawak,22,3794
2012,Selangor,12,4822
2012,Terengganu,6,1372
2012,W.P. Kuala Lumpur,6,5032
2012,W.P. Labuan,1,109
2012,W.P. Putrajaya,1,341
2013,Johor,12,4968
2013,Kedah,9,2413
2013,Kelantan,10,2487
2013,Melaka,4,1339
2013,Negeri Sembilan,7,1563
2013,Pahang,10,2046
2013,Perak,16,5874
2013,Perlis,1,404
2013,Pulau Pinang,6,1947
2013,Sabah,25,4595
2013,Sarawak,22,3856
2013,Selangor,12,4824
2013,Terengganu,6,1372
2013,W.P. Kuala Lumpur,6,5047
2013,W.P. Labuan,1,109
2013,W.P. Putrajaya,2,593
2014,Johor,12,4968
2014,Kedah,9,2483
2014,Kelantan,10,2509
2014,Melaka,4,1389
2014,Negeri Sembilan,7,1774
2014,Pahang,11,2146
2014,Perak,16,5762
2014,Perlis,1,408
2014,Pulau Pinang,6,1947
2014,Sabah,25,4575
2014,Sarawak,22,3862
2014,Selangor,12,5011
2014,Terengganu,6,1406
2014,W.P. Kuala Lumpur,6,4867
2014,W.P. Labuan,1,122
2014,W.P. Putrajaya,2,593
2015,Johor,12,4968
2015,Kedah,9,2653
2015,Kelantan,10,2509
2015,Melaka,4,1389
2015,Negeri Sembilan,7,1825
2015,Pahang,11,2158
2015,Perak,16,5762
2015,Perlis,1,408
2015,Pulau Pinang,6,2046
2015,Sabah,25,4671
2015,Sarawak,22,3944
2015,Selangor,14,5493
2015,Terengganu,6,1645
2015,W.P. Kuala Lumpur,6,4901
2015,W.P. Labuan,1,122
2015,W.P. Putrajaya,2,593
2016,Johor,12,5185
2016,Kedah,9,2689
2016,Kelantan,10,2589
2016,Melaka,4,1420
2016,Negeri Sembilan,7,1825
2016,Pahang,11,2316
2016,Perak,16,5542
2016,Perlis,1,408
2016,Pulau Pinang,6,2130
2016,Sabah,25,4815
2016,Sarawak,23,3978
2016,Selangor,14,5531
2016,Terengganu,6,1645
2016,W.P. Kuala Lumpur,6,4890
2016,W.P. Labuan,1,122
2016,W.P. Putrajaya,2,593
2017,Johor,12,5185
2017,Kedah,9,2703
2017,Kelantan,10,2590
2017,Melaka,4,1420
2017,Negeri Sembilan,7,1968
2017,Pahang,12,2391
2017,Perak,16,5542
2017,Perlis,1,508
2017,Pulau Pinang,6,2065
2017,Sabah,25,4881
2017,Sarawak,23,3989
2017,Selangor,14,5471
2017,Terengganu,6,1696
2017,W.P. Kuala Lumpur,6,5009
2017,W.P. Labuan,1,122
2017,W.P. Putrajaya,2,654
2018,Johor,12,5200
2018,Kedah,9,2673
2018,Kelantan,10,2659
2018,Melaka,4,1420
2018,Negeri Sembilan,7,1825
2018,Pahang,12,2646
2018,Perak,16,5542
2018,Perlis,1,508
2018,Pulau Pinang,6,2118
2018,Sabah,24,4808
2018,Sarawak,24,4091
2018,Selangor,14,5602
2018,Terengganu,6,1680
2018,W.P. Kuala Lumpur,6,4995
2018,W.P. Labuan,1,122
2018,W.P. Putrajaya,2,722
2019,Johor,12,5200
2019,Kedah,9,2711
2019,Kelantan,10,2787
