state,latitude,longitude
Johor,2.050526,104.389868
Kedah,6.045551,101.396961
Kelantan,5.709135,103.328609
Kuala Lumpur,3.132668,100.385522
Melaka,2.222282,101.757084
Negeri Sembilan,2.514112,100.896697
Pahang,3.732014,103.741958
Perak,4.570655,100.27635
Perlis,6.594973,100.942018
Pulau Pinang,5.599600,99.509136
Putrajaya,2.905202,100.583810
Sabah,5.038,116.111
Sarawak,2.629,112.799
Selangor,3.370843,100.518843
Terengganu,4.826731,103.952536
